SUBCLASSE|DENOMINACAO|DESCRICAO|ITEM|SUBITEM|ALIQUOTA|IDCNAE 
9329899|OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS DE CESSÃO DE ANDAIMES, PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORÁRIO|3|5|5|9133
8610102|ATIVIDADES DE ATENDIMENTO EM PRONTO-SOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE MEDICINA |4|1|2|9134
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE MEDICINA |4|1|2|9135
8650003|ATIVIDADES DE PSICOLOGIA E PSICANALISE|SERVIÇOS DE PSIQUIATRIA|4|1|2|9145
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR|4|1|2|9144
8610102|ATIVIDADES DE ATENDIMENTO EM PRONTO-SOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR|4|1|2|9143
8690901|ATIVIDADES DE PRATICAS INTEGRATIVAS E COMPLEMENTARES EM SAUDE HUMANA|SERVIÇOS DE BIOMEDICINA|4|1|2|9142
8630501|ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE PROCEDIMENTOS CIRURGICOS|SERVIÇOS DE MEDICINA |4|1|2|9141
8630502|ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES|SERVIÇOS DE MEDICINA |4|1|2|9140
8630503|ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS|SERVIÇOS DE MEDICINA |4|1|2|9139
8630506|SERVICOS DE VACINACAO E IMUNIZACAO HUMANA|SERVIÇOS DE MEDICINA |4|1|2|9138
8621601|UTI MOVEL|SERVIÇOS DE MEDICINA |4|1|2|9137
8621602|SERVICOS MOVEIS DE ATENDIMENTO A URGENCIAS, EXCETO POR UTI MOVEL|SERVIÇOS DE MEDICINA |4|1|2|9136
8640207|SERVICOS DE DIAGNOSTICO POR IMAGEM SEM USO DE RADIACAO IONIZANTE, EXCETO RESSONANCIA MAGNETICA|SERVIÇOS DE ULTRA-SONOGRAFIA|4|2|2|9146
8640202|LABORATORIOS CLINICOS|SERVIÇOS DE PATOLOGIA|4|2|2|9147
8640205|SERVICOS DE DIAGNOSTICO POR IMAGEM COM USO DE RADIACAO IONIZANTE, EXCETO TOMOGRAFIA|SERVIÇOS DE ABREUGRAFIA E RAIO X|4|2|2|9149
8640205|SERVICOS DE DIAGNOSTICO POR IMAGEM COM USO DE RADIACAO IONIZANTE, EXCETO TOMOGRAFIA|SERVIÇOS DE RADIOLOGIA|4|2|2|9152
8640204|SERVICOS DE TOMOGRAFIA|SERVIÇOS DE ELETRECIDADE-MÉDICA|4|2|2|9151
8640205|SERVICOS DE DIAGNOSTICO POR IMAGEM COM USO DE RADIACAO IONIZANTE, EXCETO TOMOGRAFIA|SERVIÇOS DE ELETRECIDADE-MÉDICA|4|2|2|9150
8640202|LABORATORIOS CLINICOS|SERVIÇOS DE ANÁLISES CLÍNICAS|4|2|2|9148
8640205|SERVICOS DE DIAGNOSTICO POR IMAGEM COM USO DE RADIACAO IONIZANTE, EXCETO TOMOGRAFIA|SERVIÇOS DE RADIOTERAPIA|4|2|2|9153
8640206|SERVICOS DE RESSONANCIA MAGNETICA|SERVIÇOS DE RESSONÂNCIA MAGNÉTICA|4|2|2|9156
8640210|SERVICOS DE QUIMIOTERAPIA|SERVIÇOS DE QUIMIOTERAPIA|4|2|2|9155
8640204|SERVICOS DE TOMOGRAFIA|SERVIÇOS DE TOMOGRAFIA|4|2|2|9154
8640202|LABORATORIOS CLINICOS|SERVIÇOS DE LABORATÓRIOS|4|3|2|9157
8630503|ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS|SERVIÇOS AMBULATORIAIS|4|3|2|9158
8630501|ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE PROCEDIMENTOS CIRURGICOS|SERVIÇOS AMBULATORIAIS|4|3|2|9160
8630502|ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES|SERVIÇOS AMBULATORIAIS|4|3|2|9159
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS AMBULATORIAIS|4|3|2|9161
